PostDate,PostText,PostLikes,PostComments,PostShares,PostImages,PostArticles
"soetrdSonp0,8585ie0158rg2eD424h1u bea fa2cc1flm",How we work.  How we shop.  How we connect. Our new #FjordTrends 2022 report examines the threads weaving the new fabric of life: https://accntu.re/3oUgzA6,245,11 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/267999357_10165819314295374_7175070738868117560_n.png?stp=dst-png_s960x960&_nc_cat=104&ccb=1-5&_nc_sid=9267fe&_nc_ohc=GkqcDWzJ2kUAX9OJx_c&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_bmyr92KAXl3BvNOj9xADE_hsByZXoLZcIG0BWZFm_sg&oe=626D9627,none
"DoSdrnotsept12690em2marc0b 1am41eg3te,0cm 21i66u",Can data-led drug discovery deliver breakthroughs that don’t break the bank? Learn more on our #BuiltForChange podcast  : https://accntu.re/3rKTa66,156,6 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/267852265_10165819201860374_9175117319478925154_n.jpg?stp=dst-jpg_s960x960&_nc_cat=108&ccb=1-5&_nc_sid=9267fe&_nc_ohc=-38-NkG117EAX_xT50j&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_IS_-BWtFu9rWXmzLtgPGYkY9twtETsk-JKY5WTH0XaQ&oe=626D9BCA,none
"DoSdrnotsept12690em2marc0b 1am31eg3te,0cm 21i66u", Supply unbounded Sustainable purpose Real virtualities,,9 Shares,none,none,none
"DoSdrnotsept12690em2marc0b 1am31eg3te,0cm 21i66u","150 billion garments are manufactured worldwide each year. Discover how our Harshit, Management Consultant, works in our Supply Chain practice to reduce waste in the apparel industry. https://accntu.re/3DGYXff",206,7 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/267731220_10165816919445374_97131167159125219_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=lxNHQ8c-IEUAX9ugi1D&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9WvaL02tqXUC0ZJVpTXNYgfQdm6GsJy1MNB5SKGiCWUQ&oe=626D714F,none
"sndrotopSe2imDfe81le50tf 0e04b1tc0rl02241fic ,0", How can you embed #sustainability and social responsibility into the fabric of your organization?,,5 Shares,none,none,none
"DdnteSoosprg05e40c08f105e31 2mber1fc914, 7312l","Every day, thousands of our Persons with Disabilities and Champions are rethinking inclusion. Learn from 4 of our people as they share more about building products that are designed to work for everyone in this blog: https://accntu.re/3yemRgR",,46 Shares,none,none,none
"DdnteSoosprg05e40c08f105e31 2mber1fc914, 7312l",Five trends. One report. Plenty of . Be the first to get our new #FjordTrends 2022 report. Arriving Dec 14—sign up here to get it in your inbox: https://accntu.re/3oyEfd4,226,12 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/265555175_10165805231115374_5163867720152804879_n.png?stp=dst-png_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=KPIVbW79VLwAX8yJIlS&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-xcAM8smyy7ZBGH0MKSsMDq-sh4ECebz_BS6PbTCJ4ZA&oe=626D6B54,none
"snrSeodtop0c137g28h13mfte2c5be0Duftc  e6g2hr,",Find out how virtual and augmented reality is redefining the way we do business on the latest episode of our #BuiltForChange podcast : https://accntu.re/3Ddph09,,5 Comments,3 Shares,none,none
"snrSeodtop0c137g27h13mfte2c5be0Duftc  e6g2hr,",Developing innovative climate technology is a breath of fresh air. Find out how Gary's work in Industry X is helping limit global warming. Want to work like Gary? https://accntu.re/32W0C3V #CareersAZ,222,9 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/264993719_10165800113080374_1579967467334627257_n.jpg?stp=dst-jpg_s960x960&_nc_cat=111&ccb=1-5&_nc_sid=9267fe&_nc_ohc=J9D3WbTlCkEAX9Lh0ze&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9eRFBvSS9A9xTOqbsy-69ZMbnkHRY73AYp6CGWnIdOmg&oe=626E702E,none
"snrSeodtop0c137g26h13mfte2c5be0Duftc  e6g2hr,",We've gone (even more) purple! Dozens of our offices have turned purple to raise awareness & celebrate International Day of Persons with Disabilities. Inclusion & diversity is core to our values so we're proud to join the #PurpleLightUp movement to celebrate #IDPWD in a big way! https://accntu.re/3lFRUgu,3.8K,Album Light Up Purple! IDPWD 2021,61 Comments,none,none
"ornedptoSsmc11f2f1r6 a68ba0h3ueeDfl,ecu2070 8","Why are nearly 5,300,000 women out of work?   ",,4 Comments,6 Shares,none,none
"ornedptoSsmc11f2f1r3 a68ba0h3ueeDfl,ecu2070 8"," There are more than 1 billion people in the world with disabilities, which makes more than 1 billion reasons for building a more inclusive, accessible workplace—and world: https://accntu.re/3dfyhHO #IDPWD #LetThereBeChange",,4 Comments,24 Shares,none,none
"ornedptoSsmc11f2f1r1 a68ba0h3ueeDfl,ecu2070 8","Our people are the reason behind our shared success—that’s why we’re honored to announce the promotion of 1,030 managing directors and appointment of 143 senior managing directors. Congratulations to all; your leadership inside Accenture and out helps drive a more sustainable future for our communities, clients and people. https://accntu.re/3Ie7bPi",1.3K,16 Comments,33 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/263422666_10165783933460374_2934115044372348118_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=va7r7vcj5zYAX9Q40uC&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_WnSlK1yjN9PjkYZq_XQXAMumugGYye2o3ZFr7zhLIHg&oe=626D595B,none
"pSodenrstoDugc61lc1m00,ug2eh2m1bea1u g9facer ","We’re celebrating International Day of Persons with Disabilities with a conversation between @theblindcook, blind chef, author, restaurateur and MasterChef winner, and our own Jill Kramer and Sanjeev Vohra. ",,10 Shares,none,none,none
"NestnpdrSoo, el00r019136m1m6f23bhff5v eumgm4o23g",Embracing the potential at the intersection of technology and sustainability is what we call a Twin Transformation. And its key to igniting future success. Learn more on our podcast #BuiltForChange : https://accntu.re/3FwnlBx,147,6 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/261971756_10165781328905374_6346886462125812791_n.png?stp=dst-png_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=9Gm_Ns_q7REAX_Yebg8&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_SiJxPuyXzBsAMAe6WJL-POBIKOK_5GayhaT2b-M_nIw&oe=626E4D33,none
"NestnpdrSoo, el90r019136m1m6f23bhff5v eumgm4o22g", Supply unbounded Sustainable purpose Real virtualities,,7 Shares,none,none,none
"eSsntrdoopo9ev,bhaN0a3fu202t 1 02fmf12r3e0gth55","Ever wonder who's responsible for securing cloud environments? Meet Ebun, one of our cybersecurity experts responsible for keeping companies' information safe. https://accntu.re/30A4h6o #CareersAZ",96,2 Shares,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/262852591_10165777152405374_2882308942970526537_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=vWseobeEKGkAX_AV8Nj&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT8e23khpfl2QT-4_0feC0SgWUinKGWg6Q3SYNKie7fMFA&oe=626DCFCF,none
"eSsntrdoopo4ev,bhaN0a3fu202t 1 02fmf12r3e0gth55",Only together can we #DefendThePlanet to ensure a greener future.,327,4 Comments,21 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/260657092_10165762267525374_120391271384106294_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=opDIOy2kAmoAX8ZqybX&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9WfEWdVuDIPddjeaACROdvrsl7j1UkY28pedRN-3w4YQ&oe=626F113D,none
"eSsntrdoopo3ev,bhaN0a3fu202t 1 02fmf12r3e0gth55",Developing innovative climate technology is a breath of fresh air. Find out how Gary's work in Industry X is helping limit global warming. Want to work like Gary? https://accntu.re/3ckumZE #CareersAZ,119,1 Share,none,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/260186649_10165759580620374_7371194710948258382_n.jpg?stp=dst-jpg_s960x960&_nc_cat=100&ccb=1-5&_nc_sid=9267fe&_nc_ohc=LQT1N1ojq6kAX9B63px&_nc_ht=scontent.ftun16-1.fna&oh=00_AT--3oyRY_fbqJcfFED52S_kP0OuJT8B_mVEanUSL8NNzw&oe=626F39D1,none
"NpSsdoonter084u 00it431a,i 82b3029l2m2ev11eor891","This #InternationalMensDay, six of our colleagues from around the globe share their thoughts on how to embrace a more inclusive understanding of masculinity. Hear their advice—from encouraging vulnerability to avoiding stereotypes—here: https://accntu.re/3kKRi92",,20 Shares,none,none,none
"NpSsdoonter084u 00it431a,i 82b3029l2m2ev11eor891", Supply unbounded Sustainable purpose Real virtualities,,2 Shares,none,none,none
"NpSsdoonter084u 00it431a,i 12b3029l2m2ev11eor891",Our leaders create and sustain our culture of equality every day. We are so proud of our 6 Accenture leaders honored on this year's OUTstanding LGBT+ and Ally Role Models lists. https://outstanding.involverolemodels.org/ #OUTRoleModels21 #PrideAtAccenture,,8 Comments,8 Shares,none,none
"oderSsonpt u41cv2r8,02 uo738um0m8eleh02N4g4b1", Supply unbounded Sustainable purpose Real virtualities,,7 Shares,none,none,none
"oderSsonpt u41cv2r8,02 uo738um0m8eleh02N4g2b1","Meet Dr. Isi—a testimony that you, too, can architect your future in tech at Accenture. Read on to see how you can work like Dr. Isi: https://accntu.re/30HL56y #CareersAZ",,4 Comments,14 Shares,none,none
"oderSsonpt2u41ct2 8,02 uc738um0b8rloh02O4g9e1",Today’s consumers care about value—but they also care about values. More insights in episode 7 of #BuiltForChange : https://accntu.re/3nalhI0,189,12 Comments,10 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/248947643_10165680516220374_7692535647253163091_n.jpg?stp=dst-jpg_s960x960&_nc_cat=109&ccb=1-5&_nc_sid=9267fe&_nc_ohc=3CMTAnJBuL0AX8DHB5e&_nc_ht=scontent.ftun16-1.fna&oh=00_AT-S0CcXnZHyWC2phpIy1t3HM6QPEioMjNW1TWlPJ9M0zw&oe=626E6F61,none
"eortopSsnd2h6t86o162ceO,r5t1 i02h9m8c1tmb8 08", Supply unbounded Sustainable purpose Real virtualities,,5 Shares,none,none,none
"eortopSsnd2h6t76o162ceO,r5t1 i02h9m8c1tmb8 08",We're helping businesses see positive value in every direction to benefit the world around us. Join us and make your impact: https://accntu.re/3jjWjVt #LetThereBeChange,,9 Shares,none,none,none
"eortopSsnd2h6t26o162ceO,r5t1 i02h9m8c1tmb8 08",Consumers today expect companies to reflect their values. Listen to how brands can meet changing expectations in episode 7 of the #BuiltForChange podcast : https://accntu.re/3C1RAyY,164,5 Comments,9 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/246008787_10165653967740374_7151776919893580431_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=tFDD9B4cQeYAX8Ih9H7&_nc_ht=scontent.ftun16-1.fna&oh=00_AT9V3VB6IEHzjx5P9S03F286vsF16C7LPSLTATJ12eZzqA&oe=626F3706,none
"OesrpdtSoonl18,219m3ti072e91 2c0 2rb7ugouc0231",Discover opportunities to add value and embrace change. https://accntu.re/3n1GbJ2 #LetThereBeChange,151,4 Comments,7 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/246808407_10165651115785374_6079161182589537362_n.jpg?stp=dst-jpg_s960x960&_nc_cat=101&ccb=1-5&_nc_sid=9267fe&_nc_ohc=yQ9MZTNZ06AAX_D7slv&_nc_oc=AQlGE--DPTqvj9_sEm34-YUcNA-6S5QG5zjzKv5EVoo-n0i6xIsxBQJUanrA4hiPtX8&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_TCWxNLPcoqs9chxs2mJOVsnZ2HfL3SfWZmXgMkaya3Q&oe=626EB227,none
"OesrpdtSoonl18,219m3ti072e99 2c0 1rb7ugouc0231","To reach net-zero by 2025, we’re making significant investments in nature-based carbon removal projects around the .",,23 Shares,none,none,none
"OesrpdtSoonl18,219m3ti072e98 2c0 1rb7ugouc0231",Meet Joe Depa. His resiliance after loss forged a path to a fulfilling career in applied intelligence. See his story: https://accntu.re/2YTJIkd #CareersAZ,,5 Comments,6 Shares,none,none
"OoortpsenSd,mu110to01mu50br0f5mue 6t2 ci247f61",How are we helping Expo 2020 Dubai create engaging digital experiences for millions of customers? Through tech and human ingenuity. Full story: https://accntu.re/3DG5s2f #Expo2020Dubai,"accenture.comSeamless Digital Experiences | Expo 2020 Dubai | AccentureAccenture was appointed to envisage, design and deliver a holistic digital visitor experience at Expo 2020 Dubai. Learn more.",7 Comments,11 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fprod2-sprcdn-assets.sprinklr.com%2F50493%2Fe301777e-d28e-4c51-ba49-94d3dc571d16-1869180274%2F13718_ACC_ME_Dubai_Expo_Asset_.jpg&cfs=1&ext=jpg&_nc_oe=6fff3&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHa49_DQadl2Tew,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3DG5s2f%3Ffbclid%3DIwAR3quWjKUBR-lwhPrDX02xSRwWmw7g4VRXDH9UYPrLLQtE1R__57prbvvgs&h=AT1sy0jYpCU_x1yIXk65D3seF95633m-YZPL1kwU5yWx3g1cMYIwy4GZgHacMoKOrGrV6gOi0JxAZFf_CFexI2ZEHJCkfA8MY9xG4icuUy_KfoYJYVKwYVDtaLMpBc9u9LAL&__tn__=H-R&c[0]=AT2cAL_IxHVXN9_rviWxzeMVSdsFWCzS48gHbC4RM8usasTSOoOtPISifRyz8RKBDB3C6deO_Gy6DFWm5VR0gEU8LCsKwrjyqNsIDGIWeF3sI_KEQgNPy1HF5lgjK4Oo3uiGlJYfweL1dWExtEz2iP5acHn4rZbv6GP43yPwGNCOP6yh
"OoortpsenSd,mu110to01mu30br0f5mue 6t2 ci247f61", Supply unbounded Sustainable purpose Real virtualities,,4 Comments,7 Shares,none,none
"OoortpsenSd,mu110to01mu10br0f5mue 6t2 ci247f61","As we celebrate our LGBTI community this #ComingOutDay, for those who are out or on your journey to coming out, we are here to support you. https://accntu.re/3DrutOr #PrideAtAccenture",,3 Comments,2 Shares,none,none
"OSodstrpeno1l250u2euorhl g,3t60 0650h21ib1g94c",We're committed to breaking down the stigma of mental health & wellness—one story at a time. Our new Chief Health Officer Dr. Tamarah Duperval-Brownlee explains how we're making mental health & wellness a regular part of the workplace: https://accntu.re/3mzQLqL,,5 Comments,28 Shares,none,none
"rosdtopenS4h2m3 062rt6oO,07gc1ub4 c2920g31e", How can you embed #sustainability and social responsibility into the fabric of your organization?,,10 Comments,7 Shares,none,none
"rosdtopenS4h2m3 062rt1oO,07gc1ub4 c2920g31e","Ever wonder what it’s like to work with 600,000 brilliant minds under one roof? Experience real career stories from our people. https://accntu.re/3i3DeGo #CareersAZ",,23 Comments,24 Shares,none,none
"SeSonprdtsol12m5fbcm,tme0r9m1i1efl502 a 8l21e2g4ph",We’re honored to be named to the Seramount (formerly Working Mother) Best Companies + Best Companies for Dads lists—but the real award goes to the working parents everywhere who balanced family and work responsibilities during a challenging year. https://accntu.re/3CUHiRf,,14 Comments,8 Shares,none,none
"SeSonprdtsol12m5fbcm,tme0r9m1i1efl502 a 7l21e2g4ph",Meet Joe Depa. His resilience after loss forged a path to a fulfilling career in applied intelligence. See his story: https://accntu.re/3o2x2Cq #CareersAZ,,4 Comments,6 Shares,none,none
"SeSonprdtsol12m5fbcm,tme0r9m1i1efl502 a 4l21e2g4ph", How can you embed #sustainability and social responsibility into the fabric of your organization?,,6 Comments,6 Shares,none,none
"SosoSrdpenta6e7ig0r,26120u0m m 1f38e1bpe5t22mc3u7t","Visibility is crucial for advancing #LGBTI inclusion. Felix, leader of our Pride Network in Germany, shares his story for #BiVisibilityDay. Learn more about our commitment to equality: https://accntu.re/3kxX4uV #PrideAtAccenture",,9 Comments,3 Shares,none,none
"SosoSrdpenta6e7ig0r,26120u0m m 1f38e1bpe5t22mc3u7t","This #BiVisibilityDay our colleagues discuss their experiences. By sharing her story, Melissa helps fight bi-erasure. Learn more about #PrideAtAccenture: https://accntu.re/3Ayrl2r",,3 Shares,none,none,none
"SosoSrdpenta6e7ig0r,26120u0m m 1f38e1bpe5t22mc3u7t","This #BiVisibilityDay, we celebrate individuals like Timona, who proudly shares her story. Hear more from our #PrideAtAccenture community: https://accntu.re/2XR5d55",,7 Shares,none,none,none
"dpesSrnoto412 8t33477e1ec2h4S1m15pub0,8r910a6 2e0","Meet Dr. Isi—a testimony that you, too, can architect your future in tech at Accenture. Read on to see how you can work like Dr. Isi: https://accntu.re/39fyF75 #CareersAZ",,2 Shares,none,none,none
"dpesSrnoto411 8t33477e1ec2h4S1m15pub0,8r910a6 2e6",Our incredible people follow their purpose to make a lasting impact. Find your next career opportunity and explore our stories of change from A to Z. https://accntu.re/3BZAlhn #CareersAZ,,7 Comments,10 Shares,none,none
"dpesSrnoto411 8t33477e1ec2h4S1m15pub0,8r910a6 2e5","More diversity on screen, in ads, on stage and in decision-making positions goes a long way towards inspiring the next generation. It also makes good business sense. Hear more: https://accntu.re/3hjQZR1",,5 Comments,11 Shares,none,none
"strepnooSd1e2ptS51f2auim918 l041i745e,2ec 3ui0b5r","Here at Accenture, we stand up for equality, set bold goals, hold ourselves accountable and move forward with conviction. Thank you to Refinitiv, an LSEG business for including us once again on the Diversity & Inclusion Index. We're honored to be in such great company as we continue to accelerate equality for all. https://accntu.re/3nyVxGP",,10 Comments,5 Shares,none,none
"strepnooSd1e2ptS51f2auim918 l031i745e,2ec 3ui0b5r","We're celebrating our Yahoo Finance #WomenRoleModels, who lead with conviction, inspire with action and demonstrate the incredible impact that can be achieved when we work together to accelerate equality for all. https://accntu.re/3loe7yX",,3 Comments,14 Shares,none,none
"opsrendotSe50rm9efa1up1t0bc ifi0 2a45e2t,Sm2lfm","Ever wonder what it’s like to work with 600,000 brilliant minds under one roof? Experience real career stories from our people. https://accntu.re/3jWh8Hm #CareersAZ",accenture.comTechnology A-Z Career Opportunities | AccentureJoin Accenture's incredible people who are combining their ingenuity with technology to solve some of the world's biggest challenges. Learn more.,6 Comments,24 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.accenture.com%2Ft20210827T230650Z__w__%2Fus-en%2F_acnmedia%2FAccenture%2Fnext-gen-8%2Facn-career-acceleration-case-study%2Fimages%2FAccenture-Careers-A-to-Z-Featured-2.jpg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQFXDlgzY4SChbU1,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3jWh8Hm%3Ffbclid%3DIwAR0rzK-0Szd4ESsmAXLHnX_T5QVvuswLSOthqsuQiVV-YMjUz9VhpQWZ8sw&h=AT1qvzQxd8Gy2ktHcR5qA2GZz5bH0uVG3K3ndY5HRFbkPMDlurWbOWExv-xWrI38curi--xK9PJSjroWLhIGglhFAyxmn9KPPmFm8BxYfAo4wGs1bZIYgUi4I5sRNuzdJsP9&__tn__=H-R&c[0]=AT2EKbMnVfqo3y5kVWZwkweZH-5uOLRxVR7GXqQXX97x40f603vzvjDqziRqfGWAfgvHbQXt9EyPkgsp7v3uwd3mGxf8vXYpUyi1OnZs5dmeeEHteX7XANMaM1SDCe0I_il_aIUvaYWSDVCSfxAfC0IO9x3ZLswyXtnP3VSCymLXUpZz
"srepondSot9812,ci t0mh88rp58e0eSbh32eu0h023h 91","Lan Guan sits down with Authority Magazine to share her career journey as a leader in #AI, what she’s excited about in the industry, and advice for #women in the field. https://accntu.re/3gZ3Ckh",219,20 Comments,10 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/241260116_10165519973225374_2097384746661334015_n.jpg?stp=dst-jpg_s960x960&_nc_cat=110&ccb=1-5&_nc_sid=9267fe&_nc_ohc=yPbiUVl8yUgAX-dvuwy&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_HWCjdhjJsnY9_Ov4noNhgsuFuC5stGQ_AYKMUHxaxkw&oe=626EAC22,none
"srepondSot9812,ci t0mh88rp58e0eSbh32eu0h022h 91","Setting transparent #diversity goals is important, but so is keeping the focus on people. Our CHRO Ellyn Shook shares 5 ways companies can look beyond the numbers to accelerate sustainable, meaningful change. https://accntu.re/3gFRFQm",124,5 Comments,1 Share,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/240593215_10165517693635374_5877622144629267836_n.jpg?stp=dst-jpg_s960x960&_nc_cat=106&ccb=1-5&_nc_sid=9267fe&_nc_ohc=mNdOKa47dskAX_ZDJFw&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_o6l8e6CFNQSORrbUDLcnlKS67ieB7ZP1xKbD14C0dug&oe=626E378B,none
"trsSnoeodp02A,1 0l0f115t1h826f3ug68 163uius", Supply unbounded Sustainable purpose Real virtualities,,4 Comments,4 Shares,none,none
"tnpdoreoSsi265iA0a0u 5166,72c2sgml h1tulg13","Setting transparent #diversity goals is important, but so is keeping the focus on people. Our CHRO Ellyn Shook shares 5 ways companies can look beyond the numbers to accelerate sustainable, meaningful change. https://accntu.re/3j20Eg3",100,9 Comments,16 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/240263401_10165496898635374_6511813610309502834_n.jpg?stp=dst-jpg_s960x960&_nc_cat=105&ccb=1-5&_nc_sid=9267fe&_nc_ohc=wvvxi7hHFMcAX8SuS6n&tn=hbBp5fd7oxvaT9b5&_nc_ht=scontent.ftun16-1.fna&oh=00_AT_vwp5y-1Z7-yb4Ft48RUWfxpx6vPx9-4Xlt7tClrHm-g&oe=626F3FD4,none
"tnpdoreoSsi245iA0a0u 5166,72c2sgml h1tulg13","AI-powered advances—like predictive text and voice recognition—can contribute to a more inclusive, accessible work environment. Read more: https://accntu.re/3DdWfiv",125,8 Comments,7 Shares,https://scontent.ftun16-1.fna.fbcdn.net/v/t39.30808-6/239091008_10165491278540374_1115309537553997713_n.jpg?stp=dst-jpg_s960x960&_nc_cat=102&ccb=1-5&_nc_sid=9267fe&_nc_ohc=XKDhllI6Hx8AX8VYwMs&_nc_ht=scontent.ftun16-1.fna&oh=00_AT__eFbldhDUY4usaKDlQglvaJax7rQXYeKq1f1KlU025Q&oe=626DA57D,none
"tnpdoreoSsi285iA0a0u 5166,71c2sgml h1tulg13",How to attract and retain candidates with invisible disabilities? Provide them with the support and accommodations they need to be successful. Listen now: https://accntu.re/37T3tK3,,19 Comments,22 Shares,none,none
"AdosnoSterp1gui tlis1210i361m0g,92uhu260 1a3", Businesses are using data analytics and #AI to shape strategies that anticipate the future. ,,16 Comments,25 Shares,none,none
"AteodpsSrno903 302g2u2ulihis21a,6u1 a6gi0mt", Supply unbounded Sustainable purpose Real virtualities,,7 Comments,8 Shares,none,none
"AteodpsSrno403 302g2u2ulihis21a,6u1 a6gi0mt","“As I get older, and more established personally and professionally, I’m realizing that being myself is now less about myself. It’s about paving a path for the next generation of LGBTQ individuals, so their fears of being open can be alleviated,” says our Joe Taiano.","advocate.comWhy LGBTQ-Inclusive Advertising Is So ImportantDone well, it demonstrates a company's committment to inclusion.",13 Comments,7 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fwww.advocate.com%2Fsites%2Fdefault%2Ffiles%2Ftmallx750.jpeg&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQFjDYr5kqmdUrXF,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3jjkIcM%3Ffbclid%3DIwAR2bSj8f-z_AG0SLY2B1cPZgT7E6eOQdAv7EAOmKR6ZSG_9bMs-CcXx_c2I&h=AT3vpGWbwneOGdp6A5gU1X0rwJK79OBLxgV1xt-Um6mMdtoPxwjm1gvv1hnH2C4qEJjZ-QTMn_ZrlaqTIjVdtQ2jZl19muY7OS1Gnb8rCs_ku3Mc7sE6tWOF5ihnTpX5dxCg&__tn__=H-R&c[0]=AT2HPyC8mobAM46S7Rh6KZDOsSDYKR7YOpBAqljLNPsVUvJQaBMHnb-bR3yMq0iqoSYNBF_v-kuBUDN4ezhklXda3BWaJfRrN-fGawjcEbB3TyzYZzdJrVBQJI9Ng_em2syFHSIdHkRiHAMhNg6MfYUJ31_PeTf6jlJWthiYoVBKiBdo
"tsroneSpodl0uh32u 28gg8su2 11tt0tl22h,tA70","Our new #AccentureNYC offices will be a global hub for innovation and inspiration—including some amazing artwork, like this incredible piece by our own Rah Thomas. ",,16 Comments,25 Shares,none,none
"tsroneSpodl0uh32u 28gg8su2 11tt0tl22h,tA70",none,6.7K,219 Comments,35 Shares,none,none
"tsroneSpodl0lh62u 28gm8yu2211t 0tl22h,tJ70",What makes a business truly future-ready and why is it so important? Find out on ep. 5 of our #BuiltForChange podcast : https://accntu.re/3rsTHY1,accenture.comBuilt for Change | Podcast Series | AccentureAccenture's Built for Change podcast series features leaders who are successfully reimagining the future of business. Listen now.,5 Comments,4 Shares,https://external.ftun16-1.fna.fbcdn.net/safe_image.php?w=500&h=261&url=https%3A%2F%2Fprod2-sprcdn-assets.sprinklr.com%2F50493%2F01a25e36-8123-410e-aad0-95ed81897399-2130641217%2FPost_2_1200x670.png&cfs=1&ext=jpg&_nc_oe=6fff2&_nc_sid=06c271&_nc_o2e=1&ccb=3-6&_nc_hash=AQHOLZT1pnUnFGQa,https://l.facebook.com/l.php?u=https%3A%2F%2Faccntu.re%2F3rsTHY1%3Ffbclid%3DIwAR1E-a_T8B3bC1wJvTJzp80FPEaJSyYNzxH1ANoAInkX7UO9LpdadWlrxnc&h=AT1cKJ5L5z8MVzCUmD0Oj_D1GsWJAFfIcefLRycLMeajPLVaZlM8fb3QJUjoDLxeVNw-xw8tKmMs8Y-Ik-9OsFgZie_Ky74ZyKPQDOL9UFjgja1zUe2x7tCUwgLSzGYZL2m0&__tn__=H-R&c[0]=AT1ePUBV1PSIKP9x_tJY5jQlioNvz5SlZOKtjuaE5FUMnp-pJS-dUq934Zw8X81_NhkjEwZop9pzEBvYzY5-GyOoilQYwsUc_xBYjiOfzGITh1VRYHlyic_6cTQqwMqzZlGT85yiHCci-5RA4nuSpjAbBRLZGcPcCJTQB8rt5sBtbbxf
"doroeptnsSl1,lttl3y00t8821J472 2 mg076tmu1",Hear leaders discuss supporting the next generation of creators and technology leaders in episode 2 of Change Conversations  https://accntu.re/3kDytFw,,11 Comments,9 Shares,none,none
"doroeptnsSl1,lttl3y40t8821J471 2 mg076tmu1",Help reimagine the future with #CloudFirst when you join our growing team of industry leaders.  https://accntu.re/3hrKJXI,,24 Comments,19 Shares,none,none
